Model3	ModelY	ModelS	ModelX	Leaf	Zoe	i3	IX3	Polestar2	Niro	SOUL	Ioniq	Kona	Etron	ID3	ID4	UP!	Golf	TAYCAN	ENYAQ	EQ	XC40	Peugeot2008	UX	BZ4X	Mach-E	total
0	0	23	15	58	122	55	0	0	0	3	9	54	0	0	0	2	17	0	0	0	0	0	0	0	0	455
277	0	26	13	59	91	78	0	0	0	5	4	78	0	0	0	0	27	0	0	0	0	0	0	0	0	787
1094	0	80	68	46	151	79	0	0	0	10	10	82	93	0	0	2	34	0	0	0	0	0	0	0	0	1899
492	0	27	16	39	164	79	0	0	0	2	8	103	33	0	0	4	34	0	0	0	0	0	0	0	0	1156
125	0	33	37	17	118	92	0	0	0	2	6	60	48	0	0	2	32	0	0	0	0	0	0	0	0	717
584	0	39	36	23	128	62	0	0	0	19	8	36	57	0	0	2	25	0	0	6	0	0	0	0	0	1169
188	0	22	24	36	95	83	0	0	0	4	5	78	77	0	0	1	21	0	0	26	0	0	0	0	0	790
108	0	37	47	45	81	80	0	0	0	7	4	91	37	0	0	0	5	0	0	0	0	0	0	0	0	746
629	0	101	105	56	181	155	0	0	0	6	24	101	30	0	0	1	6	0	0	35	0	0	0	0	0	1554
108	0	34	45	41	152	103	0	0	0	1	19	40	26	0	0	0	23	0	0	18	0	0	0	0	0	761
231	0	33	37	55	131	86	0	0	0	2	8	34	35	0	0	0	44	0	0	14	0	0	0	0	0	807
1188	0	50	83	55	385	111	0	0	0	3	63	93	245	0	0	0	348	0	0	53	0	0	0	0	0	2847
146	0	20	37	48	210	89	0	0	2	6	3	61	13	0	0	1	2	1	0	35	0	0	0	0	0	818
80	0	11	16	44	267	55	0	0	0	2	8	52	27	0	0	12	7	21	0	43	0	0	0	0	0	822
736	0	40	45	40	197	58	0	0	4	9	7	38	35	0	0	18	10	55	0	74	0	0	0	0	0	1591
127	0	8	7	29	87	26	0	0	4	10	1	35	7	0	0	10	10	12	0	31	0	0	0	0	0	566
146	0	9	21	16	114	24	0	0	7	16	5	55	18	0	0	21	9	31	0	41	0	1	0	0	0	732
383	0	35	71	37	279	75	0	0	13	6	4	65	29	0	0	31	22	53	0	36	0	10	0	0	0	1403
31	0	7	5	43	238	54	0	0	21	4	3	63	59	0	0	18	21	58	0	43	0	17	0	0	0	1002
541	0	13	32	25	220	31	0	5	21	1	7	132	42	0	0	14	21	36	0	0	0	36	0	0	0	1942
882	0	113	147	38	304	90	0	1	59	19	8	101	42	302	0	14	10	68	0	82	0	12	0	0	0	2905
61	0	20	22	59	214	41	0	10	21	14	5	120	46	189	0	7	10	50	0	45	0	13	0	0	0	1519
356	0	25	40	24	280	66	0	3	35	7	5	153	101	168	0	20	4	57	0	36	0	13	0	0	0	2352
1560	0	90	159	134	477	195	0	13	44	9	10	159	172	346	0	31	11	70	0	30	93	8	0	0	0	4817
53	0	1	8	6	144	29	0	43	29	3	3	42	39	108	0	14	11	44	0	22	82	26	5	0	0	1096
160	0	1	10	15	166	34	11	98	20	8	5	43	36	181	0	15	0	23	0	29	60	16	6	0	3	1427
526	0	0	2	59	161	58	12	81	35	9	3	98	65	227	140	19	0	55	0	68	70	47	5	0	0	2446
61	0	2	0	32	136	90	4	74	25	7	2	79	52	345	140	26	0	34	54	51	64	13	4	0	0	2048
143	0	0	0	17	135	44	20	50	37	7	4	81	64	230	99	27	0	35	122	44	75	9	0	0	69	2047
1296	0	0	0	28	140	137	45	96	31	11	6	95	75	268	229	30	0	28	152	15	100	12	2	0	85	3805
17	0	1	1	33	108	66	14	49	24	3	22	114	63	132	73	17	1	45	135	23	102	31	3	0	80	1952
141	142	0	0	27	98	25	61	38	24	6	73	80	94	289	81	41	0	29	160	81	44	17	1	0	55	2317
1062	567	0	0	28	114	57	38	47	35	21	158	69	83	283	118	56	0	46	299	39	43	47	1	0	37	4082
47	10	1	0	34	107	58	27	71	26	6	170	75	38	99	101	44	0	51	302	30	91	13	2	0	15	2284
463	360	0	0	43	134	59	24	87	21	1	137	65	84	91	134	50	0	73	353	34	114	17	2	0	46	3724
1095	313	0	0	72	114	92	100	118	27	4	187	69	110	166	255	355	0	75	607	33	107	10	4	0	43	5830
