Model3	ModelY	ModelS	ModelX	Leaf	Zoe	i3	IX3	Polestar2	Niro	SOUL	Ioniq	Kona	Etron	ID3	ID4	UP!	Golf	TAYCAN	ENYAQ	EQ	XC40	Peugeot2008	UX	BZ4X	Mach-E	total
0	0	96	55	115	180	244	0	0	0	177	29	0	0	0	0	93	21	0	0	0	0	0	0	0	0	1323
0	0	163	39	117	431	168	0	0	0	282	12	0	0	0	0	102	29	0	0	0	0	0	0	0	0	1546
0	0	457	213	145	587	263	0	0	0	97	27	0	0	0	0	127	45	0	0	0	0	0	0	0	0	2191
0	0	124	73	35	280	222	0	0	0	223	73	0	0	0	0	69	128	0	0	0	0	0	0	0	0	1408
0	0	206	116	68	271	201	0	0	0	108	130	0	0	0	0	96	132	0	0	0	0	0	0	0	0	1520
0	0	217	136	41	680	219	0	0	0	104	63	0	0	0	0	81	177	0	0	0	0	0	0	0	0	2196
0	0	102	78	44	413	205	0	0	0	365	93	0	0	0	0	90	113	0	0	0	0	0	0	0	0	1820
0	0	120	78	63	423	173	0	0	0	372	43	0	0	0	0	64	475	0	0	0	0	0	0	0	0	2177
0	0	226	120	51	278	226	0	0	0	252	47	0	0	0	0	81	494	0	0	0	0	0	0	0	0	2247
0	0	112	49	57	243	221	0	0	0	380	47	0	0	0	0	53	389	0	0	0	0	0	0	0	0	2180
0	0	205	56	54	235	276	0	0	0	277	225	0	0	0	0	114	601	0	0	0	0	0	0	0	0	3031
0	0	213	77	51	301	373	0	0	0	296	92	0	0	0	0	108	422	0	0	0	0	0	0	0	0	3412
0	0	45	17	11	299	210	0	0	0	450	189	0	0	0	0	73	450	0	0	0	0	0	0	0	0	2764
0	0	124	51	0	475	199	0	0	0	101	109	0	0	0	0	73	465	0	0	0	0	0	0	0	0	2546
0	0	304	124	346	523	322	0	0	0	396	61	0	0	0	0	131	534	0	0	0	0	0	0	0	0	3792
0	0	71	35	279	422	395	0	0	0	721	96	0	0	0	0	95	456	0	0	0	0	0	0	0	0	3171
0	0	112	88	129	507	226	0	0	3	231	98	0	0	0	0	76	366	0	0	0	0	0	0	0	0	2310
0	0	200	80	127	465	399	0	0	2	125	126	0	0	0	0	62	290	0	0	0	0	0	0	0	0	2651
0	0	51	44	159	320	314	0	0	0	423	105	0	0	0	0	46	311	0	0	0	0	0	0	0	0	2526
0	0	47	35	177	421	282	0	0	0	339	138	0	0	0	0	105	268	0	0	0	0	0	0	0	0	2457
0	0	104	81	275	328	282	0	0	3	120	110	91	0	0	0	80	432	0	0	0	0	0	0	0	0	2357
0	0	46	15	306	609	306	0	0	0	53	257	78	0	0	0	66	784	0	0	0	0	0	0	0	0	3390
0	0	81	40	366	1047	360	0	0	0	182	227	95	0	0	0	126	858	0	0	0	0	0	0	0	0	4262
0	0	63	42	205	944	497	0	0	22	151	179	104	0	0	0	86	529	0	0	0	0	0	0	0	0	3836
0	0	91	44	288	799	645	0	0	103	302	203	291	407	0	0	69	746	0	0	0	0	0	0	0	0	4648
959	0	87	46	302	782	628	0	0	52	149	142	400	155	0	0	65	281	0	0	0	0	0	0	0	0	4637
2224	0	82	61	227	1136	708	0	0	87	33	131	284	478	0	0	59	219	0	0	0	0	0	0	0	0	6616
514	0	40	21	165	939	734	0	0	39	60	137	296	174	0	0	68	489	0	0	37	0	0	0	0	0	4768
317	0	68	48	96	875	861	0	0	11	158	152	226	322	0	0	55	310	0	0	93	0	0	0	0	0	4630
1336	0	171	98	158	1020	702	0	7	10	76	102	275	246	0	0	25	635	0	0	47	0	0	0	0	0	5760
454	0	75	78	249	910	961	0	0	22	90	180	380	530	0	0	12	1007	0	0	74	0	0	0	0	0	5963
356	0	98	60	228	777	987	0	0	8	196	152	441	366	0	0	5	380	0	0	80	0	0	0	0	0	5001
1516	0	78	84	308	634	863	0	0	21	133	112	221	319	0	0	8	419	0	0	73	0	0	0	0	0	5880
221	0	34	38	275	458	858	0	0	8	192	105	263	207	0	0	32	723	0	0	41	0	0	0	0	0	4979
188	0	43	49	190	321	545	0	0	51	95	76	170	192	0	0	25	925	0	0	57	0	0	0	0	0	4651
926	0	114	89	134	780	625	0	0	38	107	35	274	182	0	0	42	764	31	0	46	0	0	0	0	0	5748
257	0	70	40	182	1798	551	0	0	32	149	191	358	572	0	0	463	1120	167	0	75	0	0	0	0	0	7492
