Model3	ModelY	ModelS	ModelX	Leaf	Zoe	i3	IX3	Polestar2	Niro	SOUL	Ioniq	Kona	Etron	ID3	ID4	UP!	Golf	TAYCAN	ENYAQ	EQ	XC40	Peugeot2008	UX	BZ4X	Mach-E	total
60	0	6	7	72	36	9	0	0	11	4	25	30	29	0	0	39	180	0	0	0	0	0	0	0	0	530
79	0	15	5	27	36	10	0	0	21	7	17	98	13	0	0	21	128	3	0	3	0	0	0	0	0	495
728	0	11	11	24	56	10	0	0	9	2	20	50	41	0	0	34	78	6	0	7	0	0	0	0	0	1114
86	0	6	4	12	34	3	0	0	45	3	8	28	13	0	0	18	46	4	0	1	0	0	0	0	0	372
103	0	6	3	14	21	3	0	0	45	3	8	46	26	0	0	9	51	2	0	2	0	0	0	0	0	374
374	0	14	16	32	38	7	0	0	21	3	12	62	48	0	0	37	72	14	0	2	0	0	0	0	0	828
19	0	1	1	23	44	6	0	1	49	5	15	98	36	0	0	20	32	26	0	18	0	0	0	0	0	488
262	0	1	2	25	62	7	0	0	141	2	18	150	40	0	0	16	15	33	0	25	0	38	0	0	0	1015
798	0	37	44	54	92	12	0	0	115	4	21	152	29	534	0	38	17	35	0	34	0	54	0	0	0	2340
21	0	3	4	47	43	8	0	1	135	8	22	114	60	187	0	17	5	46	0	37	0	50	0	0	0	1097
285	0	39	26	41	92	11	0	0	118	1	18	203	68	298	0	66	1	50	0	47	0	47	0	0	0	1737
1462	0	110	72	195	150	17	0	1	124	0	20	129	90	703	0	54	0	109	0	58	0	33	0	0	1	3845
18	0	1	0	3	100	12	0	2	50	0	9	24	58	90	0	6	0	40	0	20	0	10	0	0	0	577
4	0	0	0	9	7	0	2	1	32	3	7	30	11	48	0	4	0	9	0	14	0	7	0	0	2	347
551	0	0	0	91	62	1	2	0	128	11	32	102	30	120	451	34	1	23	0	36	0	25	0	0	0	2074
7	0	0	0	16	8	1	9	5	63	3	18	97	10	138	252	2	0	24	0	33	0	21	0	0	0	1010
4	0	0	0	9	29	96	24	0	60	4	24	104	18	143	146	3	0	24	99	25	0	19	0	0	2	1153
524	0	0	1	12	21	22	51	33	78	2	38	122	13	177	312	5	0	19	173	22	0	37	0	0	42	2274
3	0	0	0	14	14	2	46	33	46	4	53	87	17	143	132	25	3	13	87	27	11	24	0	0	78	1342
43	217	0	0	30	175	1	55	113	60	5	157	95	14	400	414	72	1	14	122	48	5	29	0	0	254	3050
299	449	0	0	37	184	7	30	127	80	6	131	183	13	168	293	121	2	22	162	41	10	34	3	0	122	3189
19	23	0	0	33	93	12	17	133	114	5	86	153	9	121	216	71	0	27	100	28	34	22	0	0	40	2130
25	63	0	0	65	83	20	11	125	133	12	227	115	25	83	257	169	2	24	80	31	227	49	2	0	243	3030
408	772	0	0	98	197	1	30	160	143	7	361	59	48	102	195	237	0	60	121	20	77	28	0	0	283	4765
