Model3	ModelY	ModelS	ModelX	Leaf	Zoe	i3	IX3	Polestar2	Niro	SOUL	Ioniq	Kona	Etron	ID3	ID4	UP!	Golf	TAYCAN	ENYAQ	EQ	XC40	Peugeot2008	UX	BZ4X	Mach-E	total
0	0	0	3	12	53	13	0	0	0	6	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	130
0	0	14	9	35	67	21	0	0	0	5	1	0	0	0	0	7	1	0	0	0	0	0	0	0	0	254
0	0	33	5	89	89	43	0	0	0	9	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	370
0	0	11	5	26	30	52	0	0	0	11	3	0	0	0	0	1	7	0	0	0	0	0	0	0	0	201
0	0	13	13	48	33	56	0	0	0	9	4	0	0	0	0	2	11	0	0	0	0	0	0	0	0	282
0	0	27	29	68	67	34	0	0	0	9	6	0	0	0	0	0	14	0	0	0	0	0	0	0	0	386
0	0	27	11	47	19	29	0	0	0	4	22	0	0	0	0	0	29	0	0	0	0	0	0	0	0	298
0	0	3	13	71	59	31	0	0	0	10	42	0	0	0	0	1	5	0	0	0	0	0	0	0	0	386
0	0	23	28	61	66	110	0	0	0	10	14	0	0	0	0	2	44	0	0	0	0	0	0	0	0	605
0	0	18	15	37	561	39	0	0	0	6	13	0	0	0	0	2	52	0	0	0	0	0	0	0	0	1026
0	0	17	15	15	127	47	0	0	0	0	7	0	0	0	0	0	3	0	0	0	0	0	0	0	0	345
0	0	39	17	21	182	23	0	0	0	18	11	0	0	0	0	2	11	0	0	0	0	0	0	0	0	532
0	0	4	2	37	104	22	0	0	0	10	22	0	0	0	0	1	28	0	0	0	0	0	0	0	0	490
0	0	13	7	44	112	55	0	0	0	12	15	0	0	0	0	0	16	0	0	0	0	0	0	0	0	453
0	0	30	32	91	150	27	0	0	0	6	11	0	0	0	0	0	20	0	0	0	0	0	0	0	0	586
0	0	16	15	148	96	35	0	0	0	6	13	0	0	0	0	2	19	0	0	0	0	0	0	0	0	574
0	0	7	15	48	75	45	0	0	0	11	10	0	0	0	0	0	5	0	0	0	0	0	0	0	0	380
0	0	25	18	64	69	43	0	0	0	11	13	0	0	0	0	1	9	0	0	0	0	0	0	0	0	443
0	0	8	6	85	106	32	0	0	0	10	11	0	0	0	0	0	53	0	0	0	0	0	0	0	0	460
0	0	5	9	61	38	57	0	0	0	6	25	2	0	0	0	1	24	0	0	0	0	0	0	0	0	359
0	0	16	21	138	36	93	0	0	0	4	15	38	0	0	0	0	11	0	0	0	0	0	0	0	0	605
0	0	13	7	149	115	36	0	0	0	21	23	34	0	0	0	0	29	0	0	0	0	0	0	0	0	718
0	0	10	11	182	241	43	0	0	0	5	26	28	0	0	0	0	24	0	0	0	0	0	0	0	0	833
0	0	16	17	214	295	45	0	0	0	5	21	122	0	0	0	0	41	0	0	0	0	0	0	0	0	1668
