Model3	ModelY	ModelS	ModelX	Leaf	Zoe	i3	IX3	Polestar2	Niro	SOUL	Ioniq	Kona	Etron	ID3	ID4	UP!	Golf	TAYCAN	ENYAQ	EQ	XC40	Peugeot2008	UX	BZ4X	Mach-E	total
0	0	19	7	5	0	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46
0	0	10	6	4	0	1	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	27
0	0	13	13	21	5	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	56
0	0	3	6	15	6	3	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	39
0	0	11	7	2	10	10	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	47
0	0	19	18	5	5	0	0	0	0	5	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	57
0	0	10	6	2	4	0	0	0	0	1	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	34
0	0	5	2	7	11	0	0	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	36
0	0	16	13	2	0	0	0	0	0	1	11	0	0	0	0	0	2	0	0	0	0	0	0	0	0	49
0	0	5	4	0	0	0	0	0	0	3	2	0	0	0	0	1	3	0	0	0	0	0	0	0	0	18
0	0	14	7	2	9	5	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	41
0	0	24	9	1	10	2	0	0	0	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	52
0	0	16	1	2	2	1	0	0	0	1	1	0	0	0	0	0	8	0	0	0	0	0	0	0	0	32
0	0	2	2	23	1	0	0	0	0	0	1	0	0	0	0	0	8	0	0	0	0	0	0	0	0	37
0	0	29	7	43	0	3	0	0	0	2	7	0	0	0	0	0	11	0	0	0	0	0	0	0	0	102
0	0	5	3	40	4	1	0	0	0	0	9	0	0	0	0	0	4	0	0	0	0	0	0	0	0	66
0	0	9	3	6	5	0	0	0	0	0	13	0	0	0	0	0	7	0	0	0	0	0	0	0	0	43
0	0	17	6	14	11	1	0	0	0	1	4	0	0	0	0	0	11	0	0	0	0	0	0	0	0	68
0	0	9	3	10	7	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	38
0	0	1	3	20	4	6	0	0	0	1	16	0	0	0	0	0	13	0	0	0	0	0	0	0	0	68
0	0	8	8	27	2	4	0	0	0	3	10	0	0	0	0	1	18	0	0	0	0	0	0	0	0	83
0	0	4	0	14	6	1	0	0	0	2	12	7	0	0	0	0	11	0	0	0	0	0	0	0	0	58
0	0	6	6	30	4	16	0	0	0	2	8	8	0	0	0	0	9	0	0	0	0	0	0	0	0	92
0	0	12	12	14	9	1	0	0	0	0	7	2	0	0	0	0	24	0	0	0	0	0	0	0	0	85
0	0	15	1	31	4	12	0	0	0	2	15	8	0	0	0	0	0	0	0	0	0	0	0	0	0	107
