Model3	ModelY	ModelS	ModelX	Leaf	Zoe	i3	IX3	Polestar2	Niro	SOUL	Ioniq	Kona	Etron	ID3	ID4	UP!	Golf	TAYCAN	ENYAQ	EQ	XC40	Peugeot2008	UX	BZ4X	Mach-E	total
0	0	45	27	145	1646	51	0	0	0	93	37	0	0	0	0	9	0	0	0	0	0	0	0	0	0	2242
0	0	55	12	277	1565	53	0	0	0	79	37	0	0	0	0	12	2	0	0	0	0	0	0	0	0	2271
0	0	106	60	311	1980	72	0	0	0	64	25	0	0	0	0	28	1	0	0	0	0	0	0	0	0	2889
0	0	38	24	198	939	41	0	0	0	45	26	0	0	0	0	12	25	0	0	0	0	0	0	0	0	1474
0	0	63	41	237	1230	71	0	0	0	39	45	0	0	0	0	21	27	0	0	0	0	0	0	0	0	1900
0	0	109	64	193	1882	61	0	0	0	113	39	0	0	0	0	24	25	0	0	0	0	0	0	0	0	2773
0	0	29	28	171	823	80	0	0	0	73	26	0	0	0	0	4	12	0	0	0	0	0	0	0	0	1510
0	0	47	32	164	710	37	0	0	0	44	32	0	0	0	0	4	10	0	0	0	0	0	0	0	0	1266
0	0	116	75	235	1267	117	0	0	0	89	28	0	0	0	0	28	42	0	0	0	0	0	0	0	0	2432
0	0	46	47	234	775	109	0	0	0	76	12	0	0	0	0	20	17	0	0	0	0	0	0	0	0	1748
0	0	90	40	122	776	80	0	0	0	59	41	0	0	0	0	38	20	0	0	0	0	0	0	0	0	1673
0	0	118	56	94	1652	84	0	0	0	44	31	0	0	0	0	52	39	0	0	0	0	0	0	0	0	2726
0	0	9	3	48	633	83	0	0	0	136	42	0	0	0	0	14	16	0	0	0	0	0	0	0	0	1286
0	0	38	13	306	1155	82	0	0	0	73	22	0	0	0	0	5	20	0	0	0	0	0	0	0	0	1949
0	0	162	79	719	2245	152	0	0	0	59	127	0	0	0	0	30	36	0	0	0	0	0	0	0	0	4047
0	0	23	16	375	961	104	0	0	0	70	53	0	0	0	0	20	28	0	0	0	0	0	0	0	0	1894
0	0	63	49	331	1085	117	0	0	0	51	20	0	0	0	0	14	41	0	0	0	0	0	0	0	0	2018
0	0	103	70	469	1928	108	0	0	0	18	21	0	0	0	0	18	35	0	0	0	0	0	0	0	0	3166
0	0	29	19	492	721	111	0	0	0	31	29	0	0	0	0	5	31	0	0	0	0	0	0	0	0	1734
0	0	30	34	261	810	96	0	0	0	63	40	0	0	0	0	8	22	0	0	0	0	0	0	0	0	1604
0	0	107	64	390	1482	107	0	0	0	44	64	0	0	0	0	12	6	0	0	0	0	0	0	0	0	2614
0	0	23	7	410	1745	82	0	0	0	47	55	36	0	0	0	16	79	0	0	0	0	0	0	0	0	2861
0	0	63	56	420	1895	81	0	0	30	42	112	22	0	0	0	47	44	0	0	0	0	0	0	0	0	3541
0	0	99	93	447	2378	144	0	0	175	26	47	216	0	0	0	45	60	0	0	0	0	0	0	0	0	4355
0	0	21	11	341	1496	229	0	0	149	23	47	147	0	0	0	25	50	0	0	0	0	0	0	0	0	3059
401	0	33	11	326	1197	196	0	0	253	14	34	79	14	0	0	15	42	0	0	0	0	0	0	0	0	2879
1153	0	51	46	455	1536	207	0	0	299	1	48	141	140	0	0	9	61	0	0	0	0	0	0	0	0	4614
251	0	33	21	347	1472	202	0	0	239	10	47	161	22	0	0	12	38	0	0	0	0	0	0	0	0	3222
321	0	50	42	172	1331	160	0	0	152	30	28	141	13	0	0	24	28	0	0	0	0	0	0	0	0	2736
1097	0	108	80	332	1845	179	0	0	156	54	22	189	35	0	0	17	61	0	0	6	0	0	0	0	0	4497
304	0	23	29	445	1491	147	0	0	111	59	23	119	45	0	0	17	33	0	0	25	0	0	0	0	0	3077
214	0	47	32	197	979	193	0	0	76	32	12	80	20	0	0	6	33	0	0	0	0	0	0	0	0	2092
1061	0	35	69	298	1568	241	0	0	136	90	72	216	57	0	0	2	55	0	0	1	0	0	0	0	0	4201
178	0	5	9	363	1939	240	0	0	253	79	174	122	23	0	0	10	105	0	0	19	0	0	0	0	0	4382
225	0	21	25	241	1866	324	0	0	19	1	32	77	31	0	0	3	75	0	0	10	0	0	0	0	0	3199
1250	0	102	83	222	2097	475	0	0	7	1	14	41	53	0	0	27	80	0	0	28	0	1	0	0	0	4803
124	0	31	15	360	5331	137	0	0	429	99	91	248	21	0	0	4	66	0	0	21	0	52	0	0	0	10952
1025	0	8	14	283	3076	153	0	0	278	79	78	414	101	0	0	108	77	25	0	37	0	85	0	0	0	9452
1385	0	111	84	154	1744	98	0	0	152	14	38	151	28	0	0	116	23	33	0	18	0	83	0	0	0	5510
189	0	14	0	0	322	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	18	0	0	0	1115
219	0	32	18	113	1165	122	0	0	205	53	59	351	20	0	0	106	14	39	0	10	0	151	0	0	0	4111
620	0	62	46	494	6012	249	0	0	456	81	96	674	115	0	0	397	68	72	0	38	0	406	0	0	0	13727
119	0	5	24	722	3834	195	0	0	609	105	93	779	85	0	0	309	132	52	0	22	0	445	0	0	0	9941
261	0	5	3	235	1618	93	0	0	620	50	77	521	145	0	0	133	72	27	0	27	0	202	0	0	0	5591
1083	0	99	85	217	2878	178	0	0	583	143	83	559	77	616	0	107	114	47	0	72	0	376	0	0	0	10011
73	0	16	18	181	2507	168	0	0	678	96	76	627	46	524	0	87	75	38	0	19	0	460	0	0	0	10043
501	0	16	20	203	2944	127	0	0	478	42	45	342	25	497	0	520	21	25	0	32	0	342	2	0	0	9601
878	0	77	79	433	5978	207	0	0	601	61	49	474	140	2550	0	525	210	167	0	22	134	313	0	0	20	20734
73	0	2	11	141	1013	103	2	0	748	98	27	475	32	142	0	39	0	19	0	19	27	360	1	0	10	6471
1166	0	1	8	203	1074	125	7	0	567	84	15	300	27	361	14	97	1	24	0	18	11	446	21	0	0	8425
4524	0	0	3	507	1519	120	41	0	627	55	32	409	58	527	408	286	3	54	0	15	18	509	20	0	1	15413
209	0	0	2	224	1265	157	65	0	481	76	96	397	22	391	372	113	0	62	134	17	25	427	19	0	7	9560
2111	0	0	0	207	2577	121	20	0	434	41	35	414	26	365	204	156	0	56	234	13	28	405	7	0	126	11564
5001	0	0	1	371	3349	170	65	0	715	82	278	494	48	722	387	113	0	71	282	28	61	624	62	0	122	20899
43	0	0	0	168	1148	81	57	0	472	90	129	451	30	264	177	105	0	53	124	11	33	323	21	0	112	7524
