Model3	ModelY	ModelS	ModelX	Leaf	Zoe	i3	IX3	Polestar2	Niro	SOUL	Ioniq	Kona	Etron	ID3	ID4	UP!	Golf	TAYCAN	ENYAQ	EQ	XC40	Peugeot2008	UX	BZ4X	Mach-E	total
0	0	0	0	95	2	1	0	0	0	0	69	0	0	0	0	0	1	0	0	0	0	0	0	0	0	168
0	0	0	0	29	1	4	0	0	0	0	26	0	0	0	0	0	1	0	0	0	0	0	0	0	0	61
0	0	0	0	39	4	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69
0	0	1	0	10	0	1	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42
0	0	0	0	9	8	2	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4
0	0	2	0	42	18	3	0	0	0	0	44	0	0	0	0	0	1	0	0	0	0	0	0	0	0	111
0	0	12	5	6	6	0	0	0	0	0	16	0	0	0	0	0	1	0	0	0	0	0	0	0	0	48
0	0	13	5	8	13	0	0	0	0	0	6	0	0	0	0	0	2	0	0	0	0	0	0	0	0	48
0	0	6	2	14	3	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	29
0	0	4	0	5	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	11	1	54	15	4	0	0	0	0	12	0	0	0	0	0	7	0	0	0	0	0	0	0	0	104
0	0	12	7	14	2	4	0	0	0	0	27	0	0	0	0	0	5	0	0	0	0	0	0	0	0	72
0	0	11	3	37	7	10	0	0	0	0	20	0	0	0	0	0	18	0	0	0	0	0	0	0	0	106
0	0	16	5	89	7	6	0	0	0	0	15	0	0	0	0	0	4	0	0	0	0	0	0	0	0	142
0	0	5	3	63	8	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88
0	0	4	1	6	1	1	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	17
