Model3	ModelY	ModelS	ModelX	Leaf	Zoe	i3	IX3	Polestar2	Niro	SOUL	Ioniq	Kona	Etron	ID3	ID4	UP!	Golf	TAYCAN	ENYAQ	EQ	XC40	Peugeot2008	UX	BZ4X	Mach-E	total
0	0	65	49	51	112	83	0	0	0	11	71	0	0	0	0	7	2	0	0	0	0	0	0	0	0	494
1	0	141	34	67	96	79	0	0	0	4	14	0	0	0	0	14	4	0	0	0	0	0	0	0	0	492
0	0	213	141	79	92	90	0	0	0	1	81	0	0	0	0	19	5	0	0	0	0	0	0	0	0	752
0	0	46	34	18	56	95	0	0	0	0	52	0	0	0	0	10	20	0	0	0	0	0	0	0	0	363
0	0	124	93	26	71	48	0	0	0	1	78	0	0	0	0	9	54	0	0	0	0	0	0	0	0	528
0	0	199	123	25	176	66	0	0	0	20	85	0	0	0	0	10	104	0	0	0	0	0	0	0	0	859
0	0	39	39	42	47	79	0	0	0	5	45	0	0	0	0	5	40	0	0	0	0	0	0	0	0	398
1	0	154	93	8	83	47	0	0	0	2	106	0	0	0	0	4	69	0	0	0	0	0	0	0	0	624
0	0	313	245	38	60	99	0	0	0	5	58	0	0	0	0	10	141	0	0	0	0	0	0	0	0	1021
0	0	114	58	11	50	113	0	0	0	2	105	0	0	0	0	11	179	0	0	0	0	0	0	0	0	725
0	0	221	126	21	62	72	0	0	0	2	53	0	0	0	0	23	300	0	0	0	0	0	0	0	0	964
0	0	402	192	9	141	70	0	0	0	1	70	0	0	0	0	6	61	0	0	0	0	0	0	0	0	1020
0	0	57	21	24	78	131	0	0	0	7	324	0	0	0	0	11	506	0	0	0	0	0	0	0	0	1349
0	0	168	66	150	94	82	0	0	0	0	121	0	0	0	0	4	144	0	0	0	0	0	0	0	0	934
0	0	592	283	322	97	84	0	0	0	2	101	0	0	0	0	2	153	0	0	0	0	0	0	0	0	1726
0	0	49	28	266	111	90	0	0	0	4	81	0	0	0	0	0	127	0	0	0	0	0	0	0	0	847
0	0	255	173	264	63	101	0	0	0	2	74	0	0	0	0	7	126	0	0	0	0	0	0	0	0	1178
0	0	647	475	257	136	155	0	0	0	1	109	0	0	0	0	4	152	0	0	0	0	0	0	0	0	2053
0	0	163	73	227	82	112	0	0	0	1	108	0	0	0	0	2	178	0	0	0	0	0	0	0	0	1054
0	0	401	200	331	32	126	0	0	0	12	168	78	0	0	0	0	109	0	0	0	0	0	0	0	0	1601
0	0	1052	594	294	31	170	0	0	0	4	154	85	0	0	0	1	38	0	0	0	0	0	0	0	0	2559
0	0	257	91	359	127	174	0	0	0	1	390	69	0	0	0	2	239	0	0	0	0	0	0	0	0	2000
2	0	443	315	671	100	112	0	0	15	10	147	168	0	0	0	16	390	0	0	0	0	0	0	0	0	3155
4	0	1557	652	259	83	271	0	0	40	2	76	155	163	0	0	2	121	0	0	0	0	0	0	0	0	6067
40	0	10	5	397	237	112	0	0	155	14	168	532	2	0	0	14	633	0	0	0	0	0	0	0	0	2464
474	0	9	7	308	90	178	0	0	319	1	95	311	0	0	0	8	167	0	0	0	0	0	0	0	0	2062
2188	0	8	6	286	104	258	0	0	326	3	102	378	40	0	0	2	196	0	0	0	0	0	0	0	0	4027
464	0	2	2	250	120	172	0	0	355	1	64	361	55	0	0	0	212	0	0	0	0	0	0	0	0	2146
414	0	11	9	126	174	164	0	0	370	1	109	427	160	0	0	1	221	0	0	0	0	0	0	0	0	2291
2482	0	54	44	176	107	151	0	0	275	37	48	309	103	0	0	9	192	0	0	14	0	0	0	0	0	4087
591	0	21	18	151	69	153	0	0	226	1	68	316	118	0	0	5	229	0	0	8	0	0	0	0	0	2106
1175	0	25	42	194	59	247	0	0	193	6	97	427	86	0	0	0	162	0	0	4	0	0	0	0	0	2878
5783	0	66	55	142	83	200	0	0	300	4	68	518	142	0	0	0	148	0	0	4	0	0	0	0	0	7658
290	0	10	13	286	78	190	0	0	271	30	128	455	189	0	0	0	185	0	0	2	0	0	0	0	0	2277
3945	0	69	67	418	49	258	0	0	425	10	277	594	160	0	0	0	187	0	0	14	0	0	0	0	0	6816
12053	0	237	192	1068	1020	768	0	0	477	9	378	898	3048	0	0	0	691	0	0	78	0	0	0	0	0	22852
43	0	4	7	48	76	45	0	0	156	61	26	73	37	0	0	0	270	17	0	5	0	0	0	0	0	1487
122	0	10	10	68	81	54	0	0	481	59	71	292	16	0	0	36	470	22	0	80	0	0	0	0	0	2780
1343	0	28	28	125	86	65	0	0	526	55	36	180	30	0	0	88	398	22	0	67	0	0	0	0	0	3923
189	0	10	8	76	83	23	0	0	366	38	62	178	35	0	0	37	200	28	0	26	0	0	0	0	0	1554
157	0	10	10	154	46	61	0	0	215	50	18	213	46	0	0	4	220	19	0	10	0	0	0	0	0	1391
716	0	22	24	103	99	62	0	2	545	70	25	328	36	0	0	17	300	46	0	20	0	0	0	0	0	2834
31	0	0	6	216	241	41	0	15	640	61	49	367	89	0	0	85	488	83	0	53	0	36	0	0	0	3866
609	2	2	6	220	290	83	0	16	602	41	27	276	189	0	0	32	288	62	0	51	0	55	0	0	0	4330
979	0	68	57	126	215	220	0	478	748	23	34	397	162	610	0	20	144	32	0	42	0	125	0	0	0	6174
35	0	0	10	101	161	87	0	468	749	48	46	401	175	2789	0	13	61	25	0	69	1	255	0	0	0	7233
91	0	32	27	76	271	131	0	504	769	74	55	523	260	1491	0	16	75	29	0	128	826	268	28	0	0	7535
3943	0	106	106	313	412	347	0	1471	686	73	210	4431	1411	6074	2408	67	89	51	0	241	1769	445	161	0	0	29504
11	0	2	0	63	54	47	57	56	49	43	5	16	17	3	8	0	0	50	0	1	40	9	2	0	0	894
37	0	0	1	126	120	38	20	74	87	11	3	15	9	6	41	0	0	28	0	1	114	77	0	0	0	1111
344	0	0	0	133	59	47	160	111	153	3	9	6	10	24	247	1	0	43	0	21	157	55	0	0	1	2154
38	0	1	0	48	52	68	78	78	358	25	7	5	38	24	292	3	0	33	362	9	172	96	0	0	59	2382
63	0	0	0	61	62	19	115	62	345	12	13	14	25	10	219	1	0	60	851	6	200	96	0	0	402	3383
476	0	0	0	76	399	75	344	66	615	52	21	51	39	24	402	14	0	28	885	9	210	108	0	0	550	5954
0	0	0	0	185	85	17	163	60	762	42	96	11	29	51	235	0	0	48	408	14	128	106	1	0	643	4096
72	129	0	0	104	69	25	178	72	754	52	64	7	46	148	179	8	0	32	477	42	106	102	3	0	436	4336
447	347	0	0	141	84	71	272	171	576	43	69	168	51	160	297	10	0	53	552	25	98	87	7	0	164	5264
54	8	0	0	14	63	44	187	301	658	29	147	94	45	243	464	17	0	75	537	10	117	192	5	0	186	5582
54	195	1	1	23	180	84	292	420	606	14	399	76	50	350	534	23	0	57	971	41	116	133	8	0	457	7562
976	903	0	0	221	370	160	868	1061	853	20	920	493	389	986	1215	169	0	123	1441	33	1069	470	3	0	1249	20819
