Model3	ModelY	ModelS	ModelX	Leaf	Zoe	i3	IX3	Polestar2	Niro	SOUL	Ioniq	Kona	Etron	ID3	ID4	UP!	Golf	TAYCAN	ENYAQ	EQ	XC40	Peugeot2008	UX	BZ4X	Mach-E	total
0	0	129	238	352	240	622	0	0	0	85	166	0	0	0	0	77	235	0	0	0	0	0	0	0	0	2349
0	0	55	43	408	279	497	0	0	0	54	26	0	0	0	0	66	224	0	0	0	0	0	0	0	0	1895
0	0	297	446	499	322	394	0	0	0	47	215	0	0	0	0	66	247	0	0	0	0	0	0	0	0	2936
0	0	42	33	287	74	426	0	0	0	15	138	0	0	0	0	53	409	0	0	0	0	0	0	0	0	1747
0	0	88	138	273	108	410	0	0	0	29	152	0	0	0	0	55	457	0	0	0	0	0	0	0	0	2211
0	0	242	609	384	428	420	0	0	0	82	182	0	0	0	0	61	874	0	0	0	0	0	0	0	0	4004
0	0	57	103	334	250	277	0	0	0	71	135	0	0	0	0	41	140	0	0	0	0	0	0	0	0	1842
0	0	106	88	264	141	390	0	0	0	106	200	0	0	0	0	80	996	0	0	0	0	0	0	0	0	2875
0	0	1007	996	112	38	312	0	0	0	58	76	0	0	0	0	83	949	0	0	0	0	0	0	0	0	3925
0	0	162	130	269	18	417	0	0	0	57	160	0	0	0	0	137	1168	0	0	0	0	0	0	0	0	2726
0	0	501	495	148	213	358	0	0	0	124	230	0	0	0	0	103	358	0	0	0	0	0	0	0	0	2796
0	0	1026	1429	46	422	512	0	0	0	91	160	0	0	0	0	44	581	0	0	0	0	0	0	0	0	4507
0	0	110	105	45	334	614	0	0	0	120	170	0	0	0	0	43	514	0	0	0	0	0	0	0	0	2185
0	0	28	53	781	87	377	0	0	0	76	177	0	0	0	0	61	472	0	0	0	0	0	0	0	0	2277
0	0	676	727	2172	347	528	0	0	0	94	194	0	0	0	0	29	433	0	0	0	0	0	0	0	0	5548
0	0	300	416	997	250	525	0	0	0	137	138	0	0	0	0	25	538	0	0	0	0	0	0	0	0	3661
0	0	272	247	644	167	407	0	0	0	102	180	0	0	0	0	26	622	0	0	0	0	0	0	0	0	2999
0	0	467	645	1152	183	335	0	0	0	62	182	16	0	0	0	25	614	0	0	0	0	0	0	0	0	4161
0	0	24	40	980	62	284	0	0	0	74	175	3	0	0	0	25	413	0	0	0	0	0	0	0	0	2409
0	0	82	113	1242	386	473	0	0	0	169	159	263	0	0	0	63	764	0	0	0	0	0	0	0	0	4387
0	0	782	1234	1072	123	458	0	0	0	126	288	180	0	0	0	53	133	0	0	0	0	0	0	0	0	4995
0	0	84	118	1293	410	525	0	0	0	162	211	54	0	0	0	66	978	0	0	0	0	0	0	0	0	4645
0	0	209	246	1209	464	714	0	0	0	154	358	130	0	0	0	90	886	0	0	0	0	0	0	0	0	5281
0	0	600	1037	719	327	448	0	0	34	197	291	196	7	0	0	123	870	0	0	0	0	0	0	0	0	5348
17	0	19	150	674	155	619	0	0	27	86	346	325	8	0	0	80	666	0	0	0	0	0	0	0	0	3559
791	0	84	141	508	208	396	0	0	133	28	302	414	110	0	0	81	780	0	0	0	0	0	0	0	0	4647
5315	0	166	341	618	344	784	0	0	187	16	314	331	680	0	0	51	894	0	0	0	0	0	0	0	0	10968
720	0	23	68	386	206	467	0	0	77	24	243	306	371	0	0	105	911	0	0	0	0	0	0	0	0	4668
705	0	47	258	390	268	344	0	0	84	43	216	234	530	0	0	71	780	0	0	0	0	0	0	0	0	4915
3012	0	434	314	475	265	453	0	0	44	43	197	289	574	0	0	48	798	0	0	7	0	0	0	0	0	7645
308	0	143	41	585	189	207	0	0	24	36	176	290	511	0	0	63	571	0	0	0	0	0	0	0	0	3599
649	0	59	122	548	235	394	0	1	11	45	192	234	445	0	0	167	1083	0	0	4	0	0	0	0	0	4858
2342	0	103	317	585	101	399	0	0	24	41	185	387	476	0	0	40	645	2	0	48	0	0	0	0	0	6230
121	0	18	29	518	93	317	0	0	33	49	413	123	873	0	0	53	740	0	0	7	0	0	0	0	0	3933
452	0	23	68	547	18	322	0	0	31	56	342	216	518	0	0	8	807	0	0	2	0	0	0	0	0	3888
1251	0	30	117	307	8	150	0	0	44	45	109	305	282	0	0	2	525	0	0	16	0	0	0	0	0	3603
166	0	10	18	366	533	200	0	0	81	90	211	380	902	0	0	40	497	10	0	67	0	0	0	0	0	4497
53	0	11	19	484	262	309	0	0	128	365	237	347	1171	0	0	90	755	41	0	43	0	0	0	0	0	5347
997	0	37	98	518	242	298	0	0	123	134	165	525	1679	0	0	228	650	95	0	173	0	0	0	0	0	7164
44	0	7	23	349	153	234	0	0	34	130	40	256	815	0	0	155	498	121	0	243	0	0	0	0	0	3792
8	0	4	19	408	148	114	0	0	23	143	117	443	562	0	0	35	610	54	0	98	0	0	0	0	0	3555
527	0	10	23	303	148	138	0	5	28	190	256	535	400	0	0	186	707	172	0	220	0	146	0	0	0	5253
22	0	4	7	222	128	117	0	17	11	54	240	383	396	0	0	220	201	144	0	698	0	86	0	0	0	4506
264	0	39	45	270	221	152	0	494	151	64	208	408	483	1	0	124	489	222	0	595	0	239	0	0	0	5822
1116	0	142	181	473	186	322	0	937	223	126	282	484	387	1989	0	138	290	82	0	286	0	278	0	0	0	9875
74	0	3	18	579	119	373	0	352	244	164	160	519	381	2475	0	41	46	62	0	332	0	246	12	0	0	8241
267	0	13	46	557	92	217	0	356	228	188	121	355	384	986	0	95	19	95	0	433	400	249	49	0	0	7443
4233	0	71	120	692	114	240	0	670	212	110	173	364	344	2303	0	196	8	122	0	426	791	213	35	0	19	14090
63	0	25	20	334	70	159	0	443	272	105	117	152	553	116	0	125	0	55	0	467	475	485	99	0	0	5948
334	0	5	6	394	61	139	17	422	254	148	92	332	494	128	4	56	0	41	0	157	408	433	102	0	0	5487
2169	0	6	6	615	69	193	115	396	212	107	75	346	338	77	856	47	0	61	48	588	545	306	63	0	1	9157
4	0	0	1	313	86	225	110	469	128	84	82	254	532	201	1824	31	2	49	336	378	626	166	50	0	44	7863
504	0	0	1	285	86	130	159	280	166	182	75	248	367	195	774	14	0	39	795	493	595	282	46	0	1384	9121
3196	0	0	1	539	76	219	468	340	278	189	222	433	268	380	872	19	0	57	1115	485	564	191	73	0	1288	13644
4	0	0	0	238	63	134	340	150	157	114	433	220	279	234	439	3	0	58	558	309	290	132	75	0	898	6928
