Model3	ModelY	ModelS	ModelX	Leaf	Zoe	i3	IX3	Polestar2	Niro	SOUL	Ioniq	Kona	Etron	ID3	ID4	UP!	Golf	TAYCAN	ENYAQ	EQ	XC40	Peugeot2008	UX	BZ4X	Mach-E	total
0	0	58	48	55	30	23	0	0	0	3	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	243
0	0	43	32	74	31	14	0	0	0	6	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	216
0	0	182	75	185	93	15	0	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	563
0	0	51	38	189	61	13	0	0	0	8	0	0	0	0	0	7	12	0	0	0	0	0	0	0	0	386
0	0	46	41	153	47	20	0	0	0	1	8	0	0	0	0	14	21	0	0	0	0	0	0	0	0	369
0	0	66	56	123	89	15	0	0	0	8	29	0	0	0	0	17	12	0	0	0	0	0	0	0	0	429
0	0	34	23	48	42	9	0	0	0	6	18	0	0	0	0	2	11	0	0	0	0	0	0	0	0	196
0	0	33	37	56	111	34	0	0	0	5	71	0	0	0	0	10	33	0	0	0	0	0	0	0	0	393
0	0	75	38	24	113	39	0	0	0	1	94	0	0	0	0	5	77	0	0	0	0	0	0	0	0	473
0	0	27	26	53	119	42	0	0	0	4	11	0	0	0	0	10	57	0	0	0	0	0	0	0	0	353
0	0	67	28	9	77	38	0	0	0	4	3	0	0	0	0	4	25	0	0	0	0	0	0	0	0	257
0	0	118	41	12	38	16	0	0	0	6	13	0	0	0	0	4	34	0	0	0	0	0	0	0	0	282
0	0	15	4	0	71	36	0	0	0	1	13	0	0	0	0	13	31	0	0	0	0	0	0	0	0	187
0	0	22	7	54	80	23	0	0	0	1	97	0	0	0	0	2	32	0	0	0	0	0	0	0	0	325
0	0	146	52	250	85	53	0	0	0	2	116	0	0	0	0	7	37	0	0	0	1	0	0	0	0	760
0	0	44	23	139	56	43	0	0	0	5	28	0	0	0	0	5	27	0	0	0	0	0	0	0	0	373
0	0	29	20	46	51	38	0	0	0	21	19	0	0	0	0	11	40	0	0	1	0	0	0	0	0	282
0	0	82	34	19	43	65	0	0	0	29	13	0	0	0	0	0	31	0	0	1	0	0	0	0	0	340
0	0	65	31	62	126	50	0	0	0	26	16	0	0	0	0	7	54	0	0	0	0	0	0	0	0	522
0	0	73	24	121	155	46	0	0	0	37	25	0	0	0	0	14	53	0	0	0	0	0	0	0	0	563
0	0	173	42	168	191	36	0	0	0	15	11	0	0	0	0	1	6	0	0	1	0	0	0	0	0	664
0	0	44	10	240	299	69	0	1	0	6	74	4	0	0	0	0	12	0	0	0	0	0	0	0	0	803
0	0	72	25	388	166	92	0	0	84	45	78	0	0	0	0	7	225	0	0	0	0	0	0	0	0	1211
0	0	113	68	343	340	62	0	0	15	40	31	3	0	0	0	10	61	0	0	0	0	0	0	0	0	1102
0	0	29	8	264	239	95	0	0	175	53	101	42	0	0	0	21	37	0	0	0	0	0	0	0	0	1091
0	0	52	7	153	236	111	0	0	164	5	27	51	17	0	0	11	35	0	0	0	0	0	0	0	0	899
997	0	72	29	134	194	146	0	0	296	1	30	90	47	0	0	8	22	0	0	0	0	0	0	0	0	2121
446	0	90	23	113	204	110	0	0	174	5	22	50	43	0	0	2	52	0	0	3	0	0	0	0	0	1389
198	0	112	56	17	199	138	0	1	140	112	27	51	80	0	0	5	62	0	0	0	0	0	0	0	0	1243
524	0	209	86	79	229	98	0	0	91	94	28	84	75	0	0	6	45	0	0	0	0	0	0	0	0	1684
453	0	70	53	84	122	67	0	0	18	48	32	29	49	0	0	5	30	0	0	0	0	0	0	0	0	1091
148	0	117	59	119	138	78	0	0	32	28	55	10	75	0	0	9	63	0	0	0	0	0	0	0	0	964
716	0	197	89	142	148	69	0	0	86	6	34	20	87	0	0	2	132	0	0	0	0	0	0	0	0	1753
47	0	15	21	141	128	62	0	0	104	9	61	43	78	0	0	1	69	0	0	0	0	0	0	0	0	811
75	0	104	51	224	113	90	0	0	63	31	114	42	46	0	0	0	47	0	0	0	0	0	0	0	0	1030
604	0	288	146	71	86	108	0	0	8	5	70	117	47	0	0	11	19	0	0	0	0	0	0	0	0	1606
67	0	83	15	89	133	73	0	0	282	117	66	30	116	0	0	39	67	0	0	0	0	0	0	0	0	1225
98	0	20	21	93	138	61	0	0	359	62	50	101	208	0	0	41	72	3	0	0	0	0	0	0	0	1409
1084	0	179	96	152	310	84	0	0	139	22	50	134	315	0	0	60	155	42	0	0	0	0	0	0	0	2999
76	0	55	10	139	159	64	0	0	44	30	32	76	146	0	0	62	38	16	0	0	0	0	0	0	0	1040
69	0	25	15	90	98	52	0	0	29	18	24	123	70	0	0	24	135	12	0	0	0	0	0	0	0	829
312	0	86	68	84	299	57	0	6	126	23	27	100	218	0	0	57	59	37	0	0	0	0	0	0	0	1667
5	1	2	3	64	136	69	0	50	229	19	23	122	138	0	0	48	131	88	0	0	0	19	0	0	0	1294
235	0	4	0	181	117	48	0	268	358	28	39	230	233	0	0	39	65	78	0	0	0	12	0	0	0	2097
754	0	189	115	172	211	64	0	564	233	26	28	178	130	460	0	63	66	14	0	0	0	36	0	0	0	3643
34	0	12	9	189	165	70	0	274	235	36	34	125	151	212	0	30	166	48	0	0	1	51	0	0	0	2277
87	0	40	16	230	142	58	0	166	160	37	34	84	161	773	0	19	48	74	0	0	80	84	0	0	0	2702
736	0	199	129	332	253	69	0	260	360	57	64	368	181	2569	0	97	46	54	0	0	177	56	0	0	1	6634
32	0	0	1	120	58	28	0	150	230	43	5	30	105	25	0	2	3	49	0	0	38	12	0	0	0	1106
133	0	0	1	117	54	27	9	151	165	44	13	34	145	148	26	2	3	34	0	0	72	67	0	0	0	1394
1192	0	0	0	156	73	33	14	129	322	39	3	26	66	132	87	5	1	44	0	0	66	17	4	0	0	2609
11	0	0	0	234	138	67	49	280	403	67	38	191	347	469	1444	20	3	89	150	0	161	112	16	0	0	4869
228	0	0	0	215	132	43	34	276	430	49	26	91	242	343	693	4	0	62	364	0	131	34	9	0	0	3949
1499	0	0	0	208	217	68	147	387	691	27	35	80	130	475	1229	5	0	27	640	0	134	94	17	0	166	8687
6	0	0	0	92	38	51	65	24	587	25	23	33	48	206	176	1	0	31	129	0	40	52	7	0	177	2535
97	152	0	0	179	99	79	79	106	731	68	60	94	156	344	553	1	0	49	164	0	41	104	11	0	303	4781
766	1213	0	0	256	112	108	45	188	858	45	36	109	191	404	643	12	0	30	347	50	38	74	6	0	277	7454
34	2	0	0	346	96	130	48	379	358	49	107	103	105	270	640	15	0	76	380	30	145	55	2	0	246	4573
118	181	0	0	448	300	105	66	443	365	56	106	80	70	233	583	92	0	85	242	29	68	144	14	0	265	5468
882	1532	0	0	720	1030	184	66	342	750	51	575	76	102	335	1103	32	0	152	283	19	177	107	28	0	387	10044
